,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
31,Happy Birthday Baby,Happy Birthday Baby,Bizzonthetrack,2022-04-12,63760,19,0.826,0.721,0.655,5.57e-05,0.0944,-5.842,0.594,100.857,4
32,Walangolo,Walangolo,DJ Neptune,2022-04-08,224842,53,0.887,0.126,0.651,0.0,0.0633,-6.707,0.108,95.006,4
33,My Man,My Man,Yemi Alade,2022-04-08,218181,54,0.732,0.354,0.763,0.00288,0.075,-4.237,0.0926,99.156,4
34,Sungba (feat. Burna Boy) - Remix,Sungba (Remix) [feat. Burna Boy],Asake,2022-03-27,210000,68,0.861,0.00913,0.588,0.0,0.0591,-8.861,0.243,111.995,4
35,Kwaku the Traveller,Kwaku the Traveller,Black Sherif,2022-03-30,185364,71,0.64,0.0764,0.552,0.0,0.107,-7.327,0.354,135.241,4
36,Go German,Go German,King Perryy,2022-04-06,178285,44,0.781,0.705,0.579,0.000272,0.118,-7.596,0.0785,139.978,4
37,ODG,Body Of Work,Eltee Skhillz,2022-01-12,193805,32,0.883,0.278,0.815,0.0855,0.16,-5.682,0.0558,113.003,4
38,Runaway,Runaway,NATIVE Sound System,2022-04-08,220894,43,0.352,0.213,0.391,0.00611,0.096,-7.294,0.0364,98.577,4
39,Kpononor,Kpononor,Yung L,2019-02-01,232411,25,0.775,0.163,0.929,0.0,0.119,-3.233,0.0533,104.041,4
40,Sempe - Acoustic,Sempe (Acoustic),L.A.X,2022-04-04,98000,43,0.601,0.888,0.218,0.0,0.0988,-8.826,0.053,66.86,3
41,Big Thug Boys (Dj Yo! Remix),Big Thug Boys (Dj Yo! Remix),AV,2022-04-08,174774,39,0.752,0.128,0.736,0.468,0.111,-6.101,0.123,94.999,4
42,Pure Addiction,Pure Addiction,C Natty,2022-04-08,195929,27,0.646,0.637,0.476,1.48e-06,0.115,-5.787,0.151,73.2,3
43,Winner,Winner,Zoro,2022-04-08,177449,20,0.548,0.687,0.526,0.0,0.0523,-4.754,0.424,171.939,3
44,Cubana,Cubana,Joeboy,2022-03-30,129544,58,0.829,0.233,0.76,0.224,0.103,-6.022,0.0997,100.12,4
45,Rose,Justin / Rose,SaveMilli,2022-04-01,160418,22,0.516,0.676,0.844,3.64e-05,0.358,-4.964,0.203,126.092,5
46,For Days,For Days,BNXN fka Buju,2022-03-30,164557,53,0.807,0.245,0.615,0.00493,0.0834,-4.278,0.214,98.052,4
47,Weakness,Weakness,chuXchu,2022-03-25,161378,23,0.527,0.227,0.66,1.83e-06,0.0972,-5.644,0.15,98.761,4
48,Time N Affection,Rave & Roses,Rema,2022-03-25,230721,53,0.549,0.306,0.689,0.0,0.0785,-6.667,0.118,108.643,4
49,Dangerous,Dangerous,T-Classic,2022-03-25,167750,39,0.649,0.144,0.578,0.0165,0.129,-7.103,0.169,100.012,4
50,Playboy,Playboy,Fireboy DML,2022-03-23,207474,69,0.555,0.334,0.674,1.28e-06,0.0586,-7.81,0.132,158.829,5
51,JINJA,JINJA,Tekno,2022-03-23,205569,55,0.727,0.14,0.653,0.000272,0.104,-7.893,0.0442,94.043,4
52,Daddy (feat. Chillz),Daddy (feat. Chillz),M.I. Abaga,2022-03-25,186666,37,0.869,0.00265,0.339,0.000426,0.483,-11.87,0.371,71.318,5
